regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000221978	ENSG00000049323	0.0520042	0.0271168	1	-nan
ENSG00000221978	ENSG00000084733	0.295791	0.06575	1	-nan
ENSG00000221978	ENSG00000085719	0.253135	0.0671444	1	-nan
ENSG00000221978	ENSG00000085760	0.103699	0.0380945	1	-nan
ENSG00000221978	ENSG00000086200	0.0438415	0.0299477	1	-nan
ENSG00000221978	ENSG00000089053	0.246338	0.0845889	1	-nan
ENSG00000221978	ENSG00000091073	0.0842849	0.0465401	1	-nan
ENSG00000221978	ENSG00000091409	0.166057	0.0757794	1	-nan
ENSG00000221978	ENSG00000099812	0.0345034	0.0351023	1	-nan
ENSG00000221978	ENSG00000100650	0.251525	0.032379	2	-nan
ENSG00000221978	ENSG00000100852	0.241942	0.0809288	1	-nan
ENSG00000221978	ENSG00000101084	0.207337	0.0891785	1	-nan
ENSG00000221978	ENSG00000101680	0.0343229	0.0405198	1	-nan
ENSG00000221978	ENSG00000103174	0.0352601	0.0238876	1	-nan
ENSG00000221978	ENSG00000105997	0.0309394	0.0339885	1	-nan
ENSG00000221978	ENSG00000132849	0.187785	0.0793751	1	-nan
ENSG00000221978	ENSG00000133056	0.0193619	0.0302938	1	-nan
ENSG00000221978	ENSG00000133606	0.25709	0.0815838	1	-nan
ENSG00000221978	ENSG00000134755	0.147218	0.074346	2	-nan
ENSG00000221978	ENSG00000135164	0.0984629	0.0720915	1	-nan
ENSG00000221978	ENSG00000135316	0.269376	0.0702288	1	-nan
ENSG00000221978	ENSG00000135677	0.168256	0.0469379	1	-nan
ENSG00000221978	ENSG00000135821	0.2201	0.0419065	1	-nan
ENSG00000221978	ENSG00000136933	0.0937271	0.0305224	1	-nan
ENSG00000221978	ENSG00000137449	0.0882597	0.032206	1	-nan
ENSG00000221978	ENSG00000137841	1.86568e-05	0.00328351	1	-nan
ENSG00000221978	ENSG00000137842	0.0407851	0.0366676	1	-nan
ENSG00000221978	ENSG00000138759	0.0774506	0.0593302	1	-nan
ENSG00000221978	ENSG00000138823	0.00899863	-0.00156993	1	-nan
ENSG00000221978	ENSG00000139219	3.06332e-07	0.00463664	1	-nan
ENSG00000221978	ENSG00000139263	0.0551732	0.0497467	2	-nan
ENSG00000221978	ENSG00000139318	0.121171	0.0308814	1	-nan
ENSG00000221978	ENSG00000139620	0.10475	0.0435808	1	-nan
ENSG00000221978	ENSG00000139977	0.0743116	0.0403263	2	-nan
ENSG00000221978	ENSG00000140743	0.0540249	0.0368999	1	-nan
ENSG00000221978	ENSG00000140941	0.243921	0.0263963	1	-nan
ENSG00000221978	ENSG00000141295	0.146606	0.0650604	1	-nan
ENSG00000221978	ENSG00000141456	0.131871	0.0654333	2	-nan
ENSG00000221978	ENSG00000142544	0.0593488	0.0317463	1	-nan
ENSG00000221978	ENSG00000142619	4.44648e-06	0.00456318	2	-nan
ENSG00000221978	ENSG00000142627	0.131566	0.0523264	1	-nan
ENSG00000221978	ENSG00000142669	0.189951	-0.00191696	1	-nan
ENSG00000221978	ENSG00000142910	0.0793014	0.0491765	2	-nan
ENSG00000221978	ENSG00000143384	0.21546	0.044179	1	-nan
ENSG00000221978	ENSG00000143674	0.0715895	0.0524485	1	-nan
ENSG00000221978	ENSG00000144567	0.165605	0.0745068	1	-nan
ENSG00000221978	ENSG00000144909	0.0629364	0.034535	1	-nan
ENSG00000221978	ENSG00000145824	2.08392e-05	0.00257342	1	-nan
ENSG00000221978	ENSG00000146416	0.252867	0.0537078	1	-nan
ENSG00000221978	ENSG00000147536	0.0120411	0.0150321	1	-nan
ENSG00000221978	ENSG00000148481	0.0770079	0.0359207	1	-nan
ENSG00000221978	ENSG00000149503	0.0116762	0.0136117	1	-nan
ENSG00000221978	ENSG00000150347	0.204568	0.0731211	1	-nan
ENSG00000221978	ENSG00000150687	0.0761742	0.0361369	1	-nan
ENSG00000221978	ENSG00000151229	0.023836	0.0360954	1	-nan
ENSG00000221978	ENSG00000151348	0.103012	0.049387	1	-nan
ENSG00000221978	ENSG00000152503	1.59347e-05	0.00828206	1	-nan
ENSG00000221978	ENSG00000152767	0.201743	0.105617	1	-nan
ENSG00000221978	ENSG00000153487	0.151186	0.0672352	1	-nan
ENSG00000221978	ENSG00000154188	0.0158904	0.0127403	1	-nan
ENSG00000221978	ENSG00000154359	0.0882977	0.0407177	1	-nan
ENSG00000221978	ENSG00000154640	0.210271	0.0763921	1	-nan
ENSG00000221978	ENSG00000155096	0.244122	0.0499791	1	-nan
ENSG00000221978	ENSG00000155158	0.0512763	0.0274145	1	-nan
ENSG00000221978	ENSG00000156970	2.81102e-05	0.010101	1	-nan
ENSG00000221978	ENSG00000158321	0.0971918	0.0532926	1	-nan
ENSG00000221978	ENSG00000158669	0.106317	0.0509298	1	-nan
ENSG00000221978	ENSG00000158710	0.196208	0.0236096	1	-nan
ENSG00000221978	ENSG00000160584	0.111358	0.0561453	1	-nan
ENSG00000221978	ENSG00000161533	0.132025	0.0575272	1	-nan
ENSG00000221978	ENSG00000161800	0.0203244	0.0193874	1	-nan
ENSG00000221978	ENSG00000161904	0.0869732	0.0396982	1	-nan
ENSG00000221978	ENSG00000162407	0.121937	0.0410882	1	-nan
ENSG00000221978	ENSG00000162434	0.228788	0.082293	1	-nan
ENSG00000221978	ENSG00000163638	0.0721659	0.0506784	1	-nan
ENSG00000221978	ENSG00000164897	0.202542	0.0887753	1	-nan
ENSG00000221978	ENSG00000166482	0.0172645	0.0213504	1	-nan
ENSG00000221978	ENSG00000167460	0.231201	0.0650249	1	-nan
ENSG00000221978	ENSG00000168003	0.234634	0.0603683	1	-nan
ENSG00000221978	ENSG00000168374	0.266903	-0.00050796	1	-nan
ENSG00000221978	ENSG00000169710	0.105997	0.0524053	1	-nan
ENSG00000221978	ENSG00000169905	0.187335	0.0755283	1	-nan
ENSG00000221978	ENSG00000171867	0.132096	0.0156079	1	-nan
ENSG00000221978	ENSG00000172728	0.0248553	0.0295885	1	-nan
ENSG00000221978	ENSG00000173230	0.194465	0.0983713	1	-nan
ENSG00000221978	ENSG00000173531	0.0718077	0.062297	1	-nan
ENSG00000205683	ENSG00000275832	2.15934e-05	-0.00103021	1	-nan
ENSG00000205683	ENSG00000250067	4.44648e-06	0.00505525	1	-nan
ENSG00000205683	ENSG00000196081	3.30509e-06	-0.00411503	1	-nan
ENSG00000205683	ENSG00000188042	1.97028e-05	0.000437458	1	-nan
ENSG00000205683	ENSG00000187553	3.21383e-05	-0.00228543	1	-nan
ENSG00000205683	ENSG00000185437	1.13791e-05	-0.00143383	1	-nan
ENSG00000205683	ENSG00000184232	2.64006e-05	0.00891681	1	-nan
ENSG00000205683	ENSG00000182612	1.00682e-05	0.00235976	1	-nan
ENSG00000205683	ENSG00000180530	0.000690865	0.00842365	1	-nan
ENSG00000205683	ENSG00000180251	2.08392e-05	0.00509947	1	-nan
ENSG00000205683	ENSG00000177427	2.24879e-06	-0.00765661	1	-nan
ENSG00000205683	ENSG00000175906	9.91975e-07	-0.00322185	1	-nan
ENSG00000205683	ENSG00000126903	1.19838e-05	-0.00176468	1	-nan
ENSG00000205683	ENSG00000108352	7.75675e-07	0.00837751	1	-nan
ENSG00000205683	ENSG00000107831	1.43275e-05	-0.00346004	1	-nan
ENSG00000205683	ENSG00000010292	6.121e-06	0.0101943	1	-nan
ENSG00000205683	ENSG00000135318	2.22499e-07	0.01103	1	-nan
ENSG00000205683	ENSG00000139055	1.43275e-05	-0.00517456	1	-nan
ENSG00000205683	ENSG00000141441	4.72064e-07	0.00600094	1	-nan
ENSG00000205683	ENSG00000147606	8.09703e-06	0.0108268	1	-nan
ENSG00000205683	ENSG00000151914	3.47086e-06	0.013299	1	-nan
ENSG00000198879	ENSG00000256294	2.85612e-05	-0.0110751	1	-nan
ENSG00000198879	ENSG00000244187	1.09072e-06	-0.00438845	1	-nan
ENSG00000198879	ENSG00000213760	3.03078e-05	-0.00504015	1	-nan
ENSG00000198879	ENSG00000188257	7.39814e-06	-0.00119518	1	-nan
ENSG00000198879	ENSG00000184709	1.52097e-07	0.00431336	1	-nan
ENSG00000198879	ENSG00000176029	7.63772e-06	0.0124287	1	-nan
ENSG00000198879	ENSG00000175518	4.211e-05	-0.0062509	1	-nan
ENSG00000198879	ENSG00000174804	1.79562e-05	0.0129217	1	-nan
ENSG00000198879	ENSG00000131018	0.0149591	0.0279112	1	-nan
ENSG00000198879	ENSG00000127920	4.6075e-09	0.000425561	1	-nan
ENSG00000198879	ENSG00000125726	4.81573e-05	0.0137718	1	-nan
ENSG00000198879	ENSG00000118898	3.83065e-07	-0.00201737	1	-nan
ENSG00000198879	ENSG00000107890	0.0122733	0.0160443	1	-nan
ENSG00000198879	ENSG00000068912	9.51186e-08	0.000725521	1	-nan
ENSG00000198879	ENSG00000060982	1.52877e-05	0.00744052	1	-nan
ENSG00000198879	ENSG00000010319	1.52877e-05	0.0060929	1	-nan
ENSG00000198879	ENSG00000100330	0.0130483	0.0119121	1	-nan
ENSG00000198879	ENSG00000106211	0.0166584	-0.0368479	1	-nan
ENSG00000198879	ENSG00000138271	3.06332e-07	-0.00812626	1	-nan
ENSG00000198879	ENSG00000139579	2.04821e-05	0.00227595	1	-nan
ENSG00000198879	ENSG00000139926	0.00014239	-0.00476843	1	-nan
ENSG00000198879	ENSG00000145850	8.31659e-06	0.000833511	1	-nan
ENSG00000198879	ENSG00000146278	0.00388865	-0.00654914	1	-nan
ENSG00000198879	ENSG00000151012	5.04577e-05	0.00825383	1	-nan
ENSG00000198879	ENSG00000155975	0.0128031	0.00925978	1	-nan
ENSG00000198879	ENSG00000169550	3.17255e-06	-0.00146875	1	-nan
ENSG00000198879	ENSG00000169715	6.73837e-05	-0.0198493	1	-nan
ENSG00000198879	ENSG00000171223	0.00423385	-0.0209678	1	-nan
ENSG00000198879	ENSG00000171435	3.26193e-05	0.0106575	1	-nan
ENSG00000196498	ENSG00000271425	0.0458399	0.0328647	1	-nan
ENSG00000196498	ENSG00000255529	0.0955853	0.0402152	1	-nan
ENSG00000196498	ENSG00000243156	0.0773666	0.0635785	1	-nan
ENSG00000196498	ENSG00000211445	0.0591427	0.020286	1	-nan
ENSG00000196498	ENSG00000205362	3.07756e-05	0.00994649	1	-nan
ENSG00000196498	ENSG00000205356	0.0242355	0.0278143	1	-nan
ENSG00000196498	ENSG00000205268	0.0682288	0.056108	1	-nan
ENSG00000196498	ENSG00000204842	0.155621	0.0943898	1	-nan
ENSG00000196498	ENSG00000204531	0.0532928	0.0558323	1	-nan
ENSG00000196498	ENSG00000204386	0.133153	0.0231292	1	-nan
ENSG00000196498	ENSG00000204257	0.0460794	0.0180208	1	-nan
ENSG00000196498	ENSG00000198742	0.0748445	0.0738607	1	-nan
ENSG00000196498	ENSG00000198563	0.0877866	0.0587865	1	-nan
ENSG00000196498	ENSG00000198467	0.0816515	0.000668924	1	-nan
ENSG00000196498	ENSG00000198435	0.0521067	0.0412203	2	-nan
ENSG00000196498	ENSG00000198369	0.0853298	0.0543515	1	-nan
ENSG00000196498	ENSG00000197302	0.0765052	0.0376563	1	-nan
ENSG00000196498	ENSG00000197249	0.0454031	0.012415	1	-nan
ENSG00000196498	ENSG00000196781	0.108035	0.0777169	2	-nan
ENSG00000196498	ENSG00000188158	0.036923	0.0382606	1	-nan
ENSG00000196498	ENSG00000188033	0.0161805	0.0214194	1	-nan
ENSG00000196498	ENSG00000187608	0.0749363	0.0252616	1	-nan
ENSG00000196498	ENSG00000186432	0.155895	0.096391	1	-nan
ENSG00000196498	ENSG00000186166	0.0672805	0.0411124	1	-nan
